MJ文字図形名,部首1,内画数1
MJ文字図形名,部首2,内画数2
MJ文字図形名,部首3,内画数3
MJ文字図形名,部首4,内画数4
MJ000001,3,2
MJ000002,4,1
MJ000003,3,1
MJ000004,1,4
MJ000005,1,5
MJ000006,1,5
MJ000007,2,2
MJ000008,2,3
MJ000009,4,1
MJ000010,4,5
MJ000011,5,4
MJ000012,5,4
MJ000013,5,6
MJ000015,5,8
MJ000016,5,10
MJ000017,5,11
MJ000018,2,3
MJ000018,3,3
MJ000018,6,3
MJ000020,6,7
MJ000021,55,5
MJ000022,8,4
MJ000023,8,3
MJ000023,37,2
MJ000025,8,5
MJ000025,47,4
MJ000026,8,6
MJ000026,53,8
MJ000027,8,11
MJ000027,145,7
MJ000028,8,11
MJ000028,145,7
MJ000029,8,11
MJ000029,145,7
MJ000030,8,15
MJ000030,186,8
MJ000031,9,3
MJ000032,9,3
MJ000033,9,3
MJ000034,9,3
MJ000035,9,3
MJ000036,9,3
MJ000037,9,3
MJ000038,9,4
MJ000039,9,4
MJ000040,9,4
MJ000041,9,4
MJ000042,9,4
MJ000045,9,5
MJ000046,9,5
MJ000047,9,5
MJ000048,9,5
MJ000049,9,5
MJ000050,9,5
MJ000051,9,5
MJ000052,9,5
MJ000053,9,6
MJ000054,9,6
MJ000055,9,6
MJ000056,9,6
MJ000057,9,6
MJ000059,9,6
MJ000060,9,6
MJ000061,9,6
MJ000062,9,6
MJ000063,9,6
MJ000064,9,7
MJ000065,9,7
MJ000066,9,7
MJ000067,9,7
MJ000068,9,7
MJ000069,9,7
MJ000070,9,7
MJ000071,9,7
MJ000072,9,8
MJ000073,9,9
MJ000074,9,8
MJ000075,9,8
MJ000076,9,8
MJ000077,9,8
MJ000078,9,8
MJ000079,9,8
MJ000080,9,9
MJ000081,9,9
MJ000082,9,9
MJ000083,9,10
MJ000084,9,10
MJ000085,9,10
MJ000086,9,10
MJ000087,9,10
MJ000088,9,10
MJ000089,9,10
MJ000089,72,8
MJ000089,73,8
MJ000090,9,11
MJ000091,9,11
MJ000092,9,11
MJ000093,9,11
MJ000094,9,11
MJ000095,9,11
MJ000096,9,11
MJ000097,9,13
MJ000098,9,12
MJ000099,9,12
MJ000100,9,12
MJ000101,9,12
MJ000102,9,12
MJ000103,9,12
MJ000104,9,12
MJ000105,9,14
MJ000106,9,14
MJ000107,9,12
MJ000108,9,12
MJ000109,9,12
MJ000110,9,12
MJ000111,9,13
MJ000112,9,13
MJ000113,9,13
MJ000114,9,13
MJ000115,9,13
MJ000116,9,13
MJ000117,9,14
MJ000118,9,14
MJ000119,9,14
MJ000120,9,14
MJ000121,9,15
MJ000122,9,16
MJ000123,9,16
MJ000124,9,16
MJ000125,9,17
MJ000126,9,18
MJ000127,9,18
MJ000128,9,18
MJ000129,9,19
MJ000130,9,19
MJ000131,9,19
MJ000132,9,21
MJ000133,9,22
MJ000134,10,4
MJ000135,10,8
MJ000136,10,16
MJ000137,11,3
MJ000138,11,4
MJ000139,11,5
MJ000140,11,5
MJ000141,12,5
MJ000141,106,2
MJ000142,12,5
MJ000143,12,7
MJ000144,152,2
MJ000145,12,18
MJ000146,12,18
MJ000146,109,15
MJ000147,122,3
MJ000148,13,9
MJ000150,13,9
MJ000151,13,10
MJ000152,13,11
MJ000153,13,20
MJ000154,122,0
MJ000155,14,7
MJ000156,14,10
MJ000157,14,10
MJ000158,14,13
MJ000159,15,2
MJ000160,15,4
MJ000162,15,5
MJ000163,15,6
MJ000164,15,6
MJ000165,15,6
MJ000166,15,6
MJ000167,15,7
MJ000168,15,7
MJ000169,15,8
MJ000170,15,8
MJ000171,15,9
MJ000172,15,10
MJ000173,15,10
MJ000174,15,11
MJ000175,15,12
MJ000176,15,12
MJ000177,16,9
MJ000178,17,4
MJ000179,18,3
MJ000180,18,3
MJ000181,18,3
MJ000181,52,2
MJ000182,18,4
MJ000183,18,4
MJ000184,18,4
MJ000185,18,4
MJ000186,18,5
MJ000187,18,5
MJ000188,18,6
MJ000189,18,6
MJ000190,18,6
MJ000191,18,6
MJ000192,18,7
MJ000193,18,7
MJ000194,18,7
MJ000195,18,7
MJ000196,18,8
MJ000197,18,9
MJ000198,18,8
MJ000200,18,8
MJ000201,18,9
MJ000202,18,9
MJ000204,18,9
MJ000205,18,9
MJ000206,18,9
MJ000207,18,9
MJ000208,18,9
MJ000209,18,9
MJ000210,18,10
MJ000211,18,10
MJ000212,18,10
MJ000213,18,10
MJ000214,18,10
MJ000215,18,11
MJ000216,18,11
MJ000217,18,12
MJ000218,18,12
MJ000219,18,12
MJ000220,18,12
MJ000221,18,12
MJ000222,18,12
MJ000223,18,13
MJ000224,18,12
MJ000225,18,12
MJ000226,18,13
MJ000227,18,14
MJ000228,18,14
MJ000229,18,14
MJ000230,18,16
MJ000231,18,15
MJ000232,18,17
MJ000233,18,18
MJ000234,19,3
MJ000235,19,4
MJ000237,19,5
MJ000238,19,5
MJ000239,19,6
MJ000240,19,6
MJ000241,19,7
MJ000242,19,7
MJ000243,19,8
MJ000244,19,8
MJ000245,19,8
MJ000246,19,9
MJ000249,19,10
MJ000250,19,15
MJ000251,19,15
MJ000252,19,15
MJ000253,19,15
MJ000255,19,16
MJ000256,20,9
MJ000257,20,10
MJ000258,20,11
MJ000259,21,2
MJ000259,48,−
MJ000260,21,6
MJ000261,21,9
MJ000262,130,17
MJ000263,22,5
MJ000264,22,5
MJ000264,23,5
MJ000265,22,5
MJ000266,22,9
MJ000267,22,8
MJ000268,22,11
MJ000269,22,11
MJ000270,22,12
MJ000271,22,12
MJ000272,22,24
MJ000273,22,5
MJ000273,23,5
MJ000274,22,10
MJ000274,23,10
MJ000275,24,2
MJ000276,1,4
MJ000276,24,3
MJ000277,24,3
MJ000278,24,4
MJ000279,24,4
MJ000280,24,11
MJ000281,25,6
MJ000282,26,0
MJ000284,26,1
MJ000285,26,6
MJ000286,27,4
MJ000287,27,4
MJ000288,27,4
MJ000289,27,5
MJ000290,27,5
MJ000291,27,5
MJ000292,27,6
MJ000293,27,6
MJ000294,27,7
MJ000295,27,8
MJ000296,27,8
MJ000297,27,8
MJ000297,172,2
MJ000298,27,10
MJ000299,27,12
MJ000300,27,12
MJ000301,27,13
MJ000302,27,14
MJ000303,27,15
MJ000304,28,2
MJ000305,28,8
MJ000306,28,9
MJ000307,28,13
MJ000308,29,2
MJ000309,29,2
MJ000310,29,2
MJ000311,29,4
MJ000312,29,4
MJ000312,30,3
MJ000313,29,5
MJ000314,29,6
MJ000315,29,7
MJ000316,172,4
MJ000317,29,12
MJ000318,29,12
MJ000319,154,7
MJ000320,30,2
MJ000321,30,2
MJ000322,30,2
MJ000323,30,3
MJ000324,30,3
MJ000325,30,3
MJ000326,30,4
MJ000327,30,4
MJ000328,30,4
MJ000329,30,4
MJ000330,30,4
MJ000331,30,4
MJ000332,30,4
MJ000333,30,4
MJ000334,30,4
MJ000335,30,4
MJ000336,30,4
MJ000337,30,4
MJ000338,30,4
MJ000339,30,4
MJ000340,30,4
MJ000341,30,5
MJ000342,30,5
MJ000343,30,5
MJ000344,30,5
MJ000345,30,5
MJ000346,30,5
MJ000348,30,6
MJ000349,30,6
MJ000350,30,6
MJ000351,30,6
MJ000352,30,6
MJ000353,30,6
MJ000354,30,6
MJ000355,30,6
MJ000356,30,7
MJ000357,30,7
MJ000358,30,7
MJ000359,30,7
MJ000360,30,7
MJ000361,30,7
MJ000362,30,7
MJ000363,30,7
MJ000364,30,7
MJ000365,30,7
MJ000366,30,8
MJ000367,30,8
MJ000368,30,8
MJ000369,30,9
MJ000370,30,8
MJ000371,30,8
MJ000372,30,8
MJ000373,30,8
MJ000374,30,8
MJ000375,30,8
MJ000376,30,8
MJ000377,30,8
MJ000378,30,8
MJ000379,140,7
MJ000380,30,9
MJ000381,30,9
MJ000382,30,9
MJ000383,30,9
MJ000384,30,9
MJ000385,30,9
MJ000386,30,9
MJ000387,30,9
MJ000388,30,9
MJ000389,30,9
MJ000390,30,9
MJ000391,30,9
MJ000392,30,9
MJ000393,30,9
MJ000394,30,9
MJ000395,30,9
MJ000396,30,9
MJ000397,30,9
MJ000398,30,9
MJ000399,30,9
MJ000400,30,9
MJ000401,30,9
MJ000402,30,9
MJ000403,30,9
MJ000404,30,10
MJ000405,30,10
MJ000406,30,10
MJ000407,30,10
MJ000408,30,10
MJ000409,30,10
MJ000410,30,10
MJ000411,30,10
MJ000412,30,10
MJ000413,30,10
MJ000414,30,10
MJ000415,30,10
MJ000416,30,10
MJ000417,30,11
MJ000418,30,11
MJ000419,30,11
MJ000420,30,11
MJ000421,30,11
MJ000422,30,11
MJ000423,30,11
MJ000424,30,11
MJ000425,30,11
MJ000426,30,11
MJ000427,30,11
MJ000428,30,11
MJ000429,30,12
MJ000430,30,12
MJ000431,30,12
MJ000432,30,12
MJ000433,30,12
MJ000434,30,12
MJ000435,30,12
MJ000436,30,12
MJ000437,30,13
MJ000438,30,13
MJ000439,30,13
MJ000440,30,13
MJ000441,30,13
MJ000442,30,13
MJ000443,30,13
MJ000444,30,13
MJ000445,30,14
MJ000446,30,14
MJ000447,30,14
MJ000448,30,14
MJ000449,30,15
MJ000450,30,15
MJ000451,30,15
MJ000452,30,15
MJ000453,30,15
MJ000454,30,16
MJ000455,30,16
MJ000456,30,17
MJ000457,30,18
MJ000458,30,18
MJ000459,30,20
MJ000460,30,22
MJ000461,30,23
MJ000462,31,2
MJ000463,31,2
MJ000464,19,3
MJ000464,31,2
MJ000465,31,3
MJ000466,31,5
MJ000467,31,5
MJ000468,31,6
MJ000469,31,7
MJ000470,31,12
MJ000471,31,17
MJ000472,32,2
MJ000473,32,4
MJ000474,32,4
MJ000476,32,4
MJ000477,32,4
